Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	RZ10001	The type of component 'MudListItem' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Dialogs\FileMetadataViewer.razor	73		
Error (active)	RZ10001	The type of component 'MudListItem' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Dialogs\FileMetadataViewer.razor	78		
Error (active)	RZ10001	The type of component 'MudListItem' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Dialogs\FileMetadataViewer.razor	83		
Error (active)	RZ10001	The type of component 'MudRadioGroup' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	93		
Error (active)	RZ10001	The type of component 'MudRadio' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	94		
Error (active)	RZ10012	Found markup element with unexpected name 'HelperText'. If this is intended to be a component, add a @using directive for its namespace.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	96		
Error (active)	RZ10001	The type of component 'MudRadio' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	98		
Error (active)	RZ10012	Found markup element with unexpected name 'HelperText'. If this is intended to be a component, add a @using directive for its namespace.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	100		
Error (active)	RZ10001	The type of component 'MudRadio' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	102		
Error (active)	RZ10012	Found markup element with unexpected name 'HelperText'. If this is intended to be a component, add a @using directive for its namespace.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	104		
Error (active)	CS0246	The type or namespace name 'MudDialogInstance' could not be found (are you missing a using directive or an assembly reference?)	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Dialogs\FileMetadataViewer.razor	105		
Error (active)	RZ10001	The type of component 'MudRadio' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	106		
Error (active)	RZ10012	Found markup element with unexpected name 'HelperText'. If this is intended to be a component, add a @using directive for its namespace.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	108		
